country_iso3,region,year,value_range,numeric_value,low,high,disaggregation,data_source
PHL,Western Pacific,1993,No data,,,,DHSMICSGEOREGION_PHLDHS199312,DHS
COL,Americas,2000,No data,,,,DHSMICSGEOREGION_COLDHS200002,DHS
PER,Americas,2006,64.9 [51.7-76.1],64.8547,51.70196,76.08259,EDUCATIONLEVEL_PRLM,DHS
ARM,Europe,2005,No data,,,,DHSMICSGEOREGION_ARMDHS200503,DHS
KGZ,Europe,1997,No data,,,,WEALTHQUINTILE_WQ5,DHS
NAM,Africa,2013,54.9 [38.6-70.3],54.94355,38.5848,70.29906,WEALTHDECILE_WEALTHDECILE01,DHS
TZA,Africa,2015,No data,,,,DHSMICSGEOREGION_TZADHS201521,DHS
GUY,Americas,2019,No data,,,,DHSMICSGEOREGION_GUYMICS201901,MICS
PHL,Western Pacific,2003,No data,,,,DHSMICSGEOREGION_PHLDHS200316,DHS
UKR,Europe,2012,No data,,,,WEALTHDECILE_WEALTHDECILE06,MICS
PER,Americas,2011,67.6 [62.0-72.7],67.59915,62.02943,72.71131,AGEGROUP_YEARS20-49,DHS
LCA,Americas,2012,No data,,,,SEX_MLE,MICS
PER,Americas,2014,No data,,,,DHSMICSGEOREGION_PERDHS201419,DHS
NAM,Africa,2006,69.8 [49.0-84.8],69.8162,48.99794,84.7769,DHSMICSGEOREGION_NAMDHS200601,DHS
TGO,Africa,2010,No data,,,,WEALTHDECILE_WEALTHDECILE07,MICS
TZA,Africa,2015,42.9 [18.8-71.0],42.91566,18.77671,70.97148,WEALTHDECILE_WEALTHDECILE03,DHS
ZWE,Africa,2009,43.4 [33.1-54.3],43.36124,33.06068,54.26924,DHSMICSGEOREGION_ZWEMICS200909,MICS
ARG,Americas,2011,No data,,,,AGEGROUP_YEARS20-49,MICS
GUY,Americas,2006,No data,,,,WEALTHDECILE_WEALTHDECILE02,MICS
KGZ,Europe,2018,No data,,,,EDUCATIONLEVEL_NHLM,MICS
HTI,Americas,2000,No data,,,,WEALTHDECILE_WEALTHDECILE09,DHS
BOL,Americas,2003,No data,,,,EDUCATIONLEVEL_SHLM,DHS
SWZ,Africa,2014,No data,,,,AGEGROUP_YEARS20-49,MICS
IDN,Western Pacific,2007,No data,,,,EDUCATIONLEVEL_SHLM,DHS
TGO,Africa,2017,No data,,,,WEALTHDECILE_WEALTHDECILE04,MICS
NGA,Africa,2011,53.0 [44.0-61.8],53.01014,43.9936,61.83437,RESIDENCEAREATYPE_URB,MICS
SRB,Europe,2019,No data,,,,WEALTHDECILE_WEALTHDECILE05,MICS
